text,label
"From: hr@nic.in
Subject: कल की टीम मीटिंग का एजेंडा

Sabhi ko suchit kiya jata hai ki is mahine ki review meeting Friday ko conference room me hogi. Attendance zaroori hai.",0
"From: refund@incometax-gov.click
Subject: आधार लिंक करना अनिवार्य है - अंतिम सूचना

आपके खाते में संदिग्ध गतिविधि देखी गई है। खाता सुरक्षित करने के लिए अभी अपना डेबिट कार्ड नंबर, CVV और OTP दर्ज करें: http://bit.ly/kyc-update-now",1
"From: alert@sbi-secure-verify.online
Subject: URGENT: aapka account band ho jayega

Dear customer, aapka bank khata 24 ghante me band ho jayega. Kripya turant is link par click karke KYC update karein aur account details verify karein: http://sbi-kyc-update.online/verify",1
"From: principal@college.edu.in
Subject: मासिक रिपोर्ट संलग्न है

आपके अवकाश आवेदन को स्वीकृति दे दी गई है। कृपया अपने कार्य की जिम्मेदारी सौंपकर जाएं। शुभकामनाएं।",0
"From: noreply@aadhaar-verify.xyz
Subject: KYC update karein turant - last warning

Dear customer, aapka bank khata 24 ghante me band ho jayega. Kripya turant is link par click karke KYC update karein aur account details verify karein: http://sbi-kyc-update.online/verify",1
"From: principal@college.edu.in
Subject: कल की टीम मीटिंग का एजेंडा

Sabhi ko suchit kiya jata hai ki is mahine ki review meeting Friday ko conference room me hogi. Attendance zaroori hai.",0
"From: refund@incometax-gov.click
Subject: Congratulations! Aapne lottery jeeti hai

Aapke account me suspicious activity detect hui hai. Account secure karne ke liye abhi debit card number, CVV aur OTP enter karein: http://sbi-kyc-update.online/verify",1
"From: admin@company.co.in
Subject: कार्यालय स्थानांतरण की सूचना

Aapka leave application approve ho gaya hai. Jaane se pehle apna kaam handover kar dein. Shubhkamnayein.",0
"From: admin@company.co.in
Subject: परियोजना की प्रगति पर चर्चा

Training program ke liye registration khula hai. Interested employees HR department se contact karein.",0
"From: noreply@aadhaar-verify.xyz
Subject: Aapke khate me suspicious transaction

Aadhaar ko bank account se link karna zaroori hai. Aaj hi link karein warna sabhi services band ho jayengi. Yahan click karein: http://upi-refund-help.work/claim",1
"From: training@psu.gov.in
Subject: कार्यालय स्थानांतरण की सूचना

सभी को सूचित किया जाता है कि इस माह की समीक्षा बैठक शुक्रवार को सम्मेलन कक्ष में आयोजित की जाएगी। उपस्थिति अनिवार्य है।",0
"From: kyc@bank-update.top
Subject: KYC update karein turant - last warning

UPI se aapke khate se paisa kat gaya hai. Refund pane ke liye neeche diye gaye link par apna UPI PIN daalein: http://bit.ly/kyc-update-now",1
